REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
103874	104576	100084	100776	703	693	0	VFAGAHAV	VFAKOQUE
100084	100776	102531	103253	693	723	0	VFAKOQUE	VFASICLA
102531	103253	100948	101648	723	701	0	VFASICLA	VFCALBON1
100948	101648	105757	106460	701	704	0	VFCALBON1	VFCALKRU
105757	106460	117723	118435	704	713	0	VFCALKRU	VFCIXIUS
117723	118435	117559	118270	713	712	0	VFCIXIUS	VFCIXNER
117559	118270	118880	119585	712	706	0	VFCIXNER	VFCIXPIL
118880	119585	63262	62562	706	701	0	VFCIXPIL	VFDER3
63262	62562	105212	105915	701	704	0	VFDER3	VFDICMUL
105212	105915	105315	106018	704	704	0	VFDICMUL	VFDICPAN5
105315	106018	109505	110227	704	723	0	VFDICPAN5	VFHYALUT
109505	110227	108678	109381	723	704	0	VFHYALUT	VFISSCOL1
108678	109381	106419	107122	704	704	0	VFISSCOL1	VFISSCOL2
106419	107122	100983	101686	704	704	0	VFISSCOL2	VFISSKAZ
100983	101686	37347	36625	704	723	0	VFISSKAZ	VFKELRIB
37347	36625	65706	66430	723	725	0	VFKELRIB	VFKELVIT
65706	66430	103826	104528	725	703	0	VFKELVIT	VFLIBAN
103826	104528	37294	37989	703	696	0	VFLIBAN	VFMALBOS
37294	37989	87717	88418	696	702	0	VFMALBOS	VFMEEALB1
87717	88418	87722	88423	702	702	0	VFMEEALB1	VFMEEALB
87722	88423	100706	101410	702	705	0	VFMEEALB	VFMYCCUN
100706	101410	117562	118286	705	725	0	VFMYCCUN	VFOLIH
117562	118286	99224	99924	725	701	0	VFOLIH	VFOMMDIS
99224	99924	99224	99924	701	701	0	VFOMMDIS	VFOMMLON
99224	99924	108655	109365	701	711	0	VFOMMLON	VFPARIOC
108655	109365	107929	108630	711	702	0	VFPARIOC	VFPARPLA
107929	108630	114479	115203	702	725	0	VFPARPLA	VFPENROR
114479	115203	114854	115563	725	710	0	VFPENROR	VFPENVAR
114854	115563	108421	109129	710	709	0	VFPENVAR	VFPYRCLA
108421	109129	108394	109100	709	707	0	VFPYRCLA	VFPYRLAN
108394	109100	108368	109074	707	707	0	VFPYRLAN	VFPYRVIR
108368	109074	108813	109515	707	703	0	VFPYRVIR	VFRANEDI
108813	109515	108614	109316	703	703	0	VFRANEDI	VFRANSCY
108614	109316	107681	108387	703	707	0	VFRANSCY	VFRR05105
107681	108387	103163	103865	707	703	0	VFRR05105	VFSCODIS
103163	103865	80625	81348	703	724	0	VFSCODIS	VFSTEMIN
80625	81348	86248	86952	724	705	0	VFSTEMIN	VFTETHEX
86248	86952	86172	86876	705	705	0	VFTETHEX	VFTETIMP
86172	86876	86202	86906	705	705	0	VFTETIMP	VFTETMAC
86202	86906	86481	87185	705	705	0	VFTETMAC	VFTETSUL
86481	87185	91876	92574	705	699	0	VFTETSUL	VFTRYOCC
91876	92574	101667	102370	699	704	0	VFTRYOCC	VFZOPTEN
104579	104952	100779	101153	374	375	0	VFAGAHAV	VFAKOQUE
100779	101153	103276	103649	375	374	0	VFAKOQUE	VFASICLA
103276	103649	101651	102025	374	375	0	VFASICLA	VFCALBON1
101651	102025	106463	106839	375	377	0	VFCALBON1	VFCALKRU
106463	106839	118459	118836	377	378	0	VFCALKRU	VFCIXIUS
118459	118836	118294	118670	378	377	0	VFCIXIUS	VFCIXNER
118294	118670	119588	119962	377	375	0	VFCIXNER	VFCIXPIL
119588	119962	62559	62177	375	383	0	VFCIXPIL	VFDER3
62559	62177	105918	106294	383	377	0	VFDER3	VFDICMUL
105918	106294	106021	106397	377	377	0	VFDICMUL	VFDICPAN5
106021	106397	110230	110606	377	377	0	VFDICPAN5	VFHYALUT
110230	110606	109384	109758	377	375	0	VFHYALUT	VFISSCOL1
109384	109758	107125	107499	375	375	0	VFISSCOL1	VFISSCOL2
107125	107499	101689	102064	375	376	0	VFISSCOL2	VFISSKAZ
101689	102064	36602	36226	376	377	0	VFISSKAZ	VFKELRIB
36602	36226	66453	66828	377	376	0	VFKELRIB	VFKELVIT
66453	66828	104531	104905	376	375	0	VFKELVIT	VFLIBAN
104531	104905	37992	38368	375	377	0	VFLIBAN	VFMALBOS
37992	38368	88421	88796	377	376	0	VFMALBOS	VFMEEALB1
88421	88796	88426	88801	376	376	0	VFMEEALB1	VFMEEALB
88426	88801	101413	101788	376	376	0	VFMEEALB	VFMYCCUN
101413	101788	118310	118686	376	377	0	VFMYCCUN	VFOLIH
118310	118686	99927	100301	377	375	0	VFOLIH	VFOMMDIS
99927	100301	99927	100301	375	375	0	VFOMMDIS	VFOMMLON
99927	100301	109368	109743	375	376	0	VFOMMLON	VFPARIOC
109368	109743	108633	109009	376	377	0	VFPARIOC	VFPARPLA
108633	109009	115227	115604	377	378	0	VFPARPLA	VFPENROR
115227	115604	115564	115940	378	377	0	VFPENROR	VFPENVAR
115564	115940	109141	109516	377	376	0	VFPENVAR	VFPYRCLA
109141	109516	109103	109478	376	376	0	VFPYRCLA	VFPYRLAN
109103	109478	109077	109452	376	376	0	VFPYRLAN	VFPYRVIR
109077	109452	109518	109893	376	376	0	VFPYRVIR	VFRANEDI
109518	109893	109319	109694	376	376	0	VFRANEDI	VFRANSCY
109319	109694	108390	108765	376	376	0	VFRANSCY	VFRR05105
108390	108765	103868	104241	376	374	0	VFRR05105	VFSCODIS
103868	104241	81371	81747	374	377	0	VFSCODIS	VFSTEMIN
81371	81747	86955	87329	377	375	0	VFSTEMIN	VFTETHEX
86955	87329	86879	87253	375	375	0	VFTETHEX	VFTETIMP
86879	87253	86909	87283	375	375	0	VFTETIMP	VFTETMAC
86909	87283	87188	87562	375	375	0	VFTETMAC	VFTETSUL
87188	87562	92577	92951	375	375	0	VFTETSUL	VFTRYOCC
92577	92951	102373	102749	375	377	0	VFTRYOCC	VFZOPTEN
104956	105126	101173	101340	171	168	0	VFAGAHAV	VFAKOQUE
101173	101340	103655	103822	168	168	0	VFAKOQUE	VFASICLA
103655	103822	102026	102192	168	167	0	VFASICLA	VFCALBON1
102026	102192	106853	107019	167	167	0	VFCALBON1	VFCALKRU
106853	107019	118843	119015	167	173	0	VFCALKRU	VFCIXIUS
118843	119015	118679	118851	173	173	0	VFCIXIUS	VFCIXNER
