GENE000073_Prokka:VFMEETHA_00091|77819_78536_-1|	GENE000082_Prokka:VFUGYLON_00089|77404_78073_-1|	0.342	237	144	0	1	237	1	220	1.213E-21	87
GENE000074_Prokka:VFMEETHA_00092|78582_78975_1|	GENE000083_Prokka:VFUGYLON_00090|78102_78489_1|	0.524	124	57	0	1	124	4	123	1.066E-36	126
GENE000075_Prokka:VFMEETHA_00093|78940_79204_-1|	GENE000085_Prokka:VFUGYLON_00092|78900_79173_-1|	0.517	87	39	0	1	87	1	81	3.596E-21	79
GENE000076_Prokka:VFMEETHA_00094|79173_79491_-1|	GENE000086_Prokka:VFUGYLON_00093|79142_79454_-1|	0.365	102	62	0	2	103	4	101	1.071E-09	47
GENE000078_Prokka:VFMEETHA_00097|80240_81461_1|	GENE000088_Prokka:VFUGYLON_00095|79920_81123_1|	0.450	397	216	0	4	400	2	394	4.515E-104	335
GENE000079_Prokka:VFMEETHA_00101|85874_86516_1|	GENE000089_Prokka:VFUGYLON_00099|85764_86178_1|	0.563	119	50	0	95	213	16	131	1.391E-34	124
GENE000080_Prokka:VFMEETHA_00102|86508_87069_1|	GENE000090_Prokka:VFUGYLON_00100|86152_86617_1|	0.318	154	91	0	14	167	13	147	3.899E-15	66
GENE000003_Prokka:VFMEETHA_00004|2018_2363_1|	GENE000005_Prokka:VFUGYLON_00005|2525_2852_1|	0.342	111	68	0	2	112	3	106	1.891E-15	64
GENE000004_Prokka:VFMEETHA_00005|2355_6132_1|	GENE000006_Prokka:VFUGYLON_00006|2848_6118_1|	0.363	1250	689	0	9	1258	7	1089	4.691E-200	652
GENE000005_Prokka:VFMEETHA_00006|6128_9779_1|	GENE000007_Prokka:VFUGYLON_00007|6101_9644_1|	0.404	1215	700	0	2	1216	5	1179	1.666E-248	793
GENE000006_Prokka:VFMEETHA_00007|9720_10101_1|	GENE000008_Prokka:VFUGYLON_00008|9597_9975_1|	0.691	123	38	0	3	125	2	124	1.513E-55	180
GENE000007_Prokka:VFMEETHA_00008|10081_10552_1|	GENE000009_Prokka:VFUGYLON_00009|9956_10421_1|	0.359	153	97	0	1	153	1	153	1.121E-30	110
GENE000008_Prokka:VFMEETHA_00009|10551_12570_1|	GENE000010_Prokka:VFUGYLON_00010|10420_12466_1|	0.482	674	348	0	1	672	1	674	9.420E-209	652
GENE000009_Prokka:VFMEETHA_00010|12566_12854_1|	GENE000011_Prokka:VFUGYLON_00011|12462_12756_1|	0.452	95	50	0	1	93	1	95	1.423E-18	72
GENE000011_Prokka:VFMEETHA_00013|14654_15041_-1|	GENE000016_Prokka:VFUGYLON_00016|14609_14978_-1|	0.488	128	62	0	1	128	1	122	2.578E-26	96
GENE000064_Prokka:VFMEETHA_00082|68892_69447_1|	GENE000074_Prokka:VFUGYLON_00081|69970_70588_1|	0.346	199	114	0	1	175	1	199	2.277E-24	93
GENE000065_Prokka:VFMEETHA_00083|69439_70405_-1|	GENE000075_Prokka:VFUGYLON_00082|70579_71527_-1|	0.341	316	205	0	1	316	1	312	3.724E-51	177
GENE000066_Prokka:VFMEETHA_00084|70410_72210_-1|	GENE000076_Prokka:VFUGYLON_00083|71523_73320_-1|	0.613	596	226	0	4	599	3	586	6.508E-235	724
GENE000068_Prokka:VFMEETHA_00086|72707_73688_1|	GENE000077_Prokka:VFUGYLON_00084|73381_74356_1|	0.462	317	169	0	2	318	6	320	8.826E-86	278
GENE000069_Prokka:VFMEETHA_00087|73670_74627_-1|	GENE000078_Prokka:VFUGYLON_00085|74345_75290_-1|	0.344	311	199	0	7	317	3	307	6.767E-35	129
GENE000041_Prokka:VFMEETHA_00052|47933_48533_1|	GENE000052_Prokka:VFUGYLON_00053|46670_47228_1|	0.428	195	105	0	2	196	1	184	1.992E-43	149
GENE000021_Prokka:VFMEETHA_00024|20107_20683_-1|	GENE000027_Prokka:VFUGYLON_00027|21784_22339_-1|	0.380	190	111	0	1	190	1	180	2.406E-37	131
GENE000022_Prokka:VFMEETHA_00025|20663_21896_-1|	GENE000028_Prokka:VFUGYLON_00028|22335_23532_-1|	0.368	400	241	0	1	400	6	388	3.960E-58	201
GENE000023_Prokka:VFMEETHA_00026|21885_23253_-1|	GENE000029_Prokka:VFUGYLON_00029|23516_24917_-1|	0.440	453	253	0	3	455	5	457	3.431E-122	390
GENE000025_Prokka:VFMEETHA_00028|24632_25535_-1|	GENE000030_Prokka:VFUGYLON_00030|24897_25767_-1|	0.323	289	186	0	12	300	3	278	4.754E-30	114
GENE000027_Prokka:VFMEETHA_00030|26472_27516_1|	GENE000031_Prokka:VFUGYLON_00031|25804_26857_1|	0.314	311	210	0	6	312	35	345	6.152E-38	139
GENE000028_Prokka:VFMEETHA_00031|27496_28759_1|	GENE000032_Prokka:VFUGYLON_00032|26846_27980_1|	0.376	397	227	0	8	404	4	367	1.473E-69	235
GENE000029_Prokka:VFMEETHA_00034|32704_33703_1|	GENE000035_Prokka:VFUGYLON_00036|31759_32755_1|	0.466	324	169	0	4	327	1	318	2.283E-86	280
GENE000053_Prokka:VFMEETHA_00069|56180_56975_1|	GENE000062_Prokka:VFUGYLON_00067|54788_55532_1|	0.545	263	111	0	1	263	3	247	3.767E-85	273
GENE000054_Prokka:VFMEETHA_00070|56968_57991_1|	GENE000063_Prokka:VFUGYLON_00068|55528_56530_1|	0.367	332	208	0	5	336	4	332	2.511E-55	190
GENE000056_Prokka:VFMEETHA_00072|58136_59426_-1|	GENE000064_Prokka:VFUGYLON_00069|56521_57808_-1|	0.410	426	248	0	1	421	1	426	1.821E-84	279
