gene_callers_id	source	accession	function	e_value
1	Prokka:Prodigal	tufA	Translation elongation factor Tu	0
2	Prokka:Prodigal		tRNA-Phe	0
3	Prokka:Prodigal	rplK	50S ribosomal protein L11	0
4	Prokka:Prodigal	rplA	50S ribosomal subunit protein L1	0
5	Prokka:Prodigal	rplJ	50S ribosomal subunit protein L10	0
6	Prokka:Prodigal	rplL	LSU ribosomal protein L7/L12 (P1/P2)	0
7	Prokka:Prodigal	rpoB	DNA-directed RNA polymerase beta subunit	0
8	Prokka:Prodigal	rpoC	DNA-directed RNA polymerase beta' subunit	0
9	Prokka:Prodigal	rpsL	SSU ribosomal protein S12p (S23e)	0
10	Prokka:Prodigal	rpsG	SSU ribosomal protein S7p (S5e)	0
11	Prokka:Prodigal	fusA	Translation elongation factor G	0
12	Prokka:Prodigal	rpsJ	30S ribosomal protein S10	0
13	Prokka:Prodigal	def	Peptide deformylase	0
14	Prokka:Prodigal	rsmA	rRNA adenine N-6-methyltransferase	0
15	Prokka:Prodigal	rpsI	SSU ribosomal protein S9p (S16e)	0
16	Prokka:Prodigal	rsmD	16S rRNA (guanine(966)-N(2))-methyltransferase	0
17	Prokka:Prodigal	prfA	Peptide chain release factor 1	0
18	Prokka:Prodigal	rpoS	RNA polymerase nonessential primary-like sigma factor	0
19	Prokka:Prodigal	dnaE	DNA polymerase III alpha subunit	0
20	Prokka:Prodigal	metF	methylenetetrahydrofolate reductase	0
21	Prokka:Prodigal	dnaQ	DNA polymerase III epsilon subunit	0
22	Prokka:Prodigal	aroC	Chorismate synthase	0
23	Prokka:Prodigal		tRNA-Arg	0
24	Prokka:Prodigal		tRNA-Met	0
25	Prokka:Prodigal	trxA	Thioredoxin 1 redox factor	0
26	Prokka:Prodigal		tRNA-Asp	0
27	Prokka:Prodigal	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	0
28	Prokka:Prodigal	dnaJ	Chaperone protein DnaJ	0
29	Prokka:Prodigal	dnaK	Chaperone protein DnaK	0
30	Prokka:Prodigal	aroF	2-keto-3-deoxy-D-arabino-heptulosonate-7- phosphate synthase I alpha	0
31	Prokka:Prodigal	aroQ	3-dehydroquinate dehydratase II	0
32	Prokka:Prodigal		product	0
33	Prokka:Prodigal		tRNA-Ile	0
34	Prokka:Prodigal		product	0
35	Prokka:Prodigal	rplC	LSU ribosomal protein L3p (L3e)	0
36	Prokka:Prodigal	rplD	LSU ribosomal protein L4p (L1e)	0
37	Prokka:Prodigal	rplB	LSU ribosomal protein L2p (L8e)	0
38	Prokka:Prodigal	rpsS	SSU ribosomal protein S19p (S15e)	0
39	Prokka:Prodigal	rpsC	SSU ribosomal protein S3p (S3e)	0
40	Prokka:Prodigal	rplP	LSU ribosomal protein L16p (L10e)	0
41	Prokka:Prodigal	rpsQ	30S ribosomal subunit protein S17	0
42	Prokka:Prodigal	rplN	LSU ribosomal protein L14p (L23e)	0
43	Prokka:Prodigal	rplE	LSU ribosomal protein L5p (L11e)	0
44	Prokka:Prodigal	rpsH	30S ribosomal protein S8	0
45	Prokka:Prodigal	rplF	LSU ribosomal protein L6p (L9e)	0
46	Prokka:Prodigal	rpsE	SSU ribosomal protein S5p (S2e)	0
47	Prokka:Prodigal	rplO	LSU ribosomal protein L15p (L27Ae)	0
48	Prokka:Prodigal	infA	Translation initiation factor 1	0
49	Prokka:Prodigal	rmpJ	50S ribosomal protein L36	0
50	Prokka:Prodigal	rpsM	SSU ribosomal protein S13p (S18e)	0
51	Prokka:Prodigal	rpsK	SSU ribosomal protein S11p (S14e)	0
52	Prokka:Prodigal	rpsD	SSU ribosomal protein S4p (S9e)	0
53	Prokka:Prodigal	rpoA	DNA-directed RNA polymerase alpha subunit	0
54	Prokka:Prodigal	aroB	3-dehydroquinate synthase	0
