REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
139949	140639	136607	137318	691	712	86.0	SMASICLA	SMHYALUT
145635	145872	141721	141991	238	271	93.1	SMASICLA	SMHYALUT
0	2604	2031	4599	2605	2569	80.9	SMASICLA	SMHYALUT
18274	17269	22953	21855	1006	1099	63.1	SMASICLA	SMHYALUT
138047	138392	134786	135104	346	319	84.6	SMASICLA	SMHYALUT
163018	161299	157950	156264	1720	1687	90.5	SMASICLA	SMHYALUT
146385	146778	142510	142864	394	355	84.5	SMASICLA	SMHYALUT
138381	139203	135105	135933	823	829	94.8	SMASICLA	SMHYALUT
67471	63598	85948	89677	3874	3730	88.9	SMASICLA	SMHYALUT
142193	142748	138647	139187	556	541	86.1	SMASICLA	SMHYALUT
4226	6437	7859	9929	2212	2071	69.49	SMASICLA	SMHYALUT
136438	136738	133213	133513	301	301	85.8	SMASICLA	SMHYALUT
160825	159787	155926	154882	1039	1045	94.7	SMASICLA	SMHYALUT
148860	149211	144625	144976	352	352	79.3	SMASICLA	SMHYALUT
154106	152333	147927	146247	1774	1681	71.8	SMASICLA	SMHYALUT
97193	96965	95872	95629	229	244	83.7	SMASICLA	SMHYALUT
112923	113532	112285	112630	610	346	78.5	SMASICLA	SMHYALUT
117787	119239	116180	117593	1453	1414	91.0	SMASICLA	SMHYALUT
125922	126102	124862	125051	181	190	87.0	SMASICLA	SMHYALUT
19968	18318	25886	24269	1651	1618	86.7	SMASICLA	SMHYALUT
21812	20036	27647	25892	1777	1756	83.9	SMASICLA	SMHYALUT
22127	22781	27830	28424	655	595	74.1	SMASICLA	SMHYALUT
24490	22885	30070	28552	1606	1519	82.6	SMASICLA	SMHYALUT
24854	24605	30266	30056	250	211	75.0	SMASICLA	SMHYALUT
25128	24810	30550	30280	319	271	87.5	SMASICLA	SMHYALUT
25522	25183	30908	30554	340	355	81.69	SMASICLA	SMHYALUT
26433	26181	31471	31225	253	247	92.5	SMASICLA	SMHYALUT
26763	26442	31787	31460	322	328	80.1	SMASICLA	SMHYALUT
28342	26887	33281	31940	1456	1342	84.4	SMASICLA	SMHYALUT
143076	143493	139479	139881	418	403	84.7	SMASICLA	SMHYALUT
146837	147539	142879	143437	703	559	67.3	SMASICLA	SMHYALUT
10611	11385	15440	16202	775	763	88.3	SMASICLA	SMHYALUT
133565	133940	130231	130606	376	376	97.5	SMASICLA	SMHYALUT
159723	158307	154859	154625	1417	235	65.5	SMASICLA	SMHYALUT
128888	127847	127214	126287	1042	928	93.4	SMASICLA	SMHYALUT
3070	4204	6710	7853	1135	1144	77.7	SMASICLA	SMHYALUT
136739	137387	133506	134151	649	646	85.7	SMASICLA	SMHYALUT
161288	161036	156253	156010	253	244	74.3	SMASICLA	SMHYALUT
62650	62290	63947	63623	361	325	92.3	SMASICLA	SMHYALUT
121564	122812	119694	120912	1249	1219	87.1	SMASICLA	SMHYALUT
127806	126828	126222	125238	979	985	92.3	SMASICLA	SMHYALUT
140616	141018	137295	137700	403	406	93.1	SMASICLA	SMHYALUT
144577	145135	140778	141252	559	475	89.1	SMASICLA	SMHYALUT
9219	7950	12450	11220	1270	1231	90.3	SMASICLA	SMHYALUT
137392	138040	134131	134779	649	649	86.9	SMASICLA	SMHYALUT
155453	156695	150675	151836	1243	1162	77.2	SMASICLA	SMHYALUT
29018	28451	33849	33285	568	565	77.0	SMASICLA	SMHYALUT
29088	30036	33922	34870	949	949	91.0	SMASICLA	SMHYALUT
30085	31891	34872	36609	1807	1738	78.6	SMASICLA	SMHYALUT
31905	32004	36615	36705	100	91	96.4	SMASICLA	SMHYALUT
33841	32941	37783	37018	901	766	74.7	SMASICLA	SMHYALUT
33862	34828	37821	38670	967	850	86.0	SMASICLA	SMHYALUT
35457	36912	39664	40975	1456	1312	79.2	SMASICLA	SMHYALUT
69659	69209	83957	84383	451	427	90.7	SMASICLA	SMHYALUT
82706	85325	71906	69317	2620	2590	85.2	SMASICLA	SMHYALUT
89503	89083	66910	67324	421	415	83.4	SMASICLA	SMHYALUT
104218	105640	103477	104887	1423	1411	92.7	SMASICLA	SMHYALUT
110073	108591	109917	108525	1483	1393	84.0	SMASICLA	SMHYALUT
117759	116403	116129	114818	1357	1312	86.8	SMASICLA	SMHYALUT
124688	123998	124010	123437	691	574	69.9	SMASICLA	SMHYALUT
131545	131860	128939	129185	316	247	85.8	SMASICLA	SMHYALUT
141750	142170	138318	138648	421	331	56.79	SMASICLA	SMHYALUT
36948	38064	40986	42111	1117	1126	84.0	SMASICLA	SMHYALUT
40473	38976	43925	42422	1498	1504	81.49	SMASICLA	SMHYALUT
40849	40513	44299	43960	337	340	74.3	SMASICLA	SMHYALUT
40914	42297	44363	45671	1384	1309	77.1	SMASICLA	SMHYALUT
44282	42320	46466	46202	1963	265	78.4	SMASICLA	SMHYALUT
44846	46334	47330	48794	1489	1465	87.3	SMASICLA	SMHYALUT
47621	46487	50052	48915	1135	1138	85.4	SMASICLA	SMHYALUT
48582	47643	50987	50048	940	940	81.1	SMASICLA	SMHYALUT
53198	49262	55100	51293	3937	3808	76.0	SMASICLA	SMHYALUT
54861	53457	56658	55296	1405	1363	77.6	SMASICLA	SMHYALUT
141334	141703	137931	138300	370	370	95.0	SMASICLA	SMHYALUT
143524	144136	139901	140459	613	559	77.3	SMASICLA	SMHYALUT
2710	3043	4604	4907	334	304	85.8	SMASICLA	SMHYALUT
133956	134460	130624	131116	505	493	85.0	SMASICLA	SMHYALUT
157924	156712	154571	153587	1213	985	76.1	SMASICLA	SMHYALUT
108350	108551	108334	108529	202	196	87.8	SMASICLA	SMHYALUT
115971	115698	114703	114430	274	274	90.0	SMASICLA	SMHYALUT
123624	123330	123233	122939	295	295	89.4	SMASICLA	SMHYALUT
89084	88628	67323	67686	457	364	80.4	SMASICLA	SMHYALUT
101587	98812	100865	98150	2776	2716	85.0	SMASICLA	SMHYALUT
105626	106211	104873	105455	586	583	89.6	SMASICLA	SMHYALUT
115675	114022	114366	112725	1654	1642	92.9	SMASICLA	SMHYALUT
119391	120138	117620	118367	748	748	93.9	SMASICLA	SMHYALUT
131437	131248	128823	128634	190	190	91.9	SMASICLA	SMHYALUT
141099	141360	137696	137957	262	262	93.0	SMASICLA	SMHYALUT
144196	144532	140469	140775	337	307	77.4	SMASICLA	SMHYALUT
145996	146380	142115	142496	385	382	84.9	SMASICLA	SMHYALUT
69122	68465	84392	85028	658	637	82.0	SMASICLA	SMHYALUT
