REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
0	681	0	690	682	691	70.7	SMAKOQUE	SMCATAR1
1088	3878	1618	2044	2791	427	84.2	SMAKOQUE	SMCATAR1
3971	4310	3576	3909	340	334	93.5	SMAKOQUE	SMCATAR1
5849	6956	155828	154724	1108	1105	87.7	SMAKOQUE	SMCATAR1
7010	8153	154633	153496	1144	1138	91.0	SMAKOQUE	SMCATAR1
10625	9407	152138	153362	1219	1225	96.5	SMAKOQUE	SMCATAR1
10698	11763	152075	151010	1066	1066	89.8	SMAKOQUE	SMCATAR1
13966	12058	95787	97686	1909	1900	93.5	SMAKOQUE	SMCATAR1
14056	14458	95684	95273	403	412	92.6	SMAKOQUE	SMCATAR1
14457	14850	95274	94881	394	394	90.7	SMAKOQUE	SMCATAR1
14803	15769	94844	94109	967	736	87.9	SMAKOQUE	SMCATAR1
15910	16627	94103	93440	718	664	68.1	SMAKOQUE	SMCATAR1
21081	18429	89936	92546	2653	2611	86.2	SMAKOQUE	SMCATAR1
22459	21235	88651	89866	1225	1216	90.1	SMAKOQUE	SMCATAR1
23155	22507	87984	88635	649	652	94.4	SMAKOQUE	SMCATAR1
24396	23340	86801	87860	1057	1060	87.9	SMAKOQUE	SMCATAR1
31622	33005	81089	79883	1384	1207	87.0	SMAKOQUE	SMCATAR1
34469	35657	78217	77029	1189	1189	96.7	SMAKOQUE	SMCATAR1
35968	36397	76907	76493	430	415	88.3	SMAKOQUE	SMCATAR1
56539	55204	58249	59512	1336	1264	90.6	SMAKOQUE	SMCATAR1
56573	57734	58161	57000	1162	1162	92.4	SMAKOQUE	SMCATAR1
57750	59160	56991	55575	1411	1417	94.2	SMAKOQUE	SMCATAR1
59146	59734	55589	55001	589	589	89.2	SMAKOQUE	SMCATAR1
59783	60869	54950	53843	1087	1108	93.8	SMAKOQUE	SMCATAR1
62566	61960	139468	138907	607	562	88.0	SMAKOQUE	SMCATAR1
62766	63195	139656	140085	430	430	86.4	SMAKOQUE	SMCATAR1
63198	65100	140088	141936	1903	1849	84.2	SMAKOQUE	SMCATAR1
89897	89603	29117	28841	295	277	88.6	SMAKOQUE	SMCATAR1
90030	90255	29157	29352	226	196	85.4	SMAKOQUE	SMCATAR1
90616	91600	32677	33658	985	982	94.7	SMAKOQUE	SMCATAR1
92138	91943	34377	34149	196	229	87.9	SMAKOQUE	SMCATAR1
92559	92841	34838	35126	283	289	81.69	SMAKOQUE	SMCATAR1
95265	93477	37200	35490	1789	1711	88.5	SMAKOQUE	SMCATAR1
96554	95315	38436	37224	1240	1213	89.3	SMAKOQUE	SMCATAR1
98572	97255	39762	38448	1318	1315	81.59	SMAKOQUE	SMCATAR1
126627	126036	19172	18620	592	553	87.9	SMAKOQUE	SMCATAR1
127057	126631	19513	19168	427	346	61.3	SMAKOQUE	SMCATAR1
127822	127453	19900	19531	370	370	97.5	SMAKOQUE	SMCATAR1
128357	127868	20181	19929	490	253	82.7	SMAKOQUE	SMCATAR1
128770	128365	20585	20180	406	406	95.5	SMAKOQUE	SMCATAR1
129455	128747	21276	20562	709	715	87.3	SMAKOQUE	SMCATAR1
130187	129809	21677	21323	379	355	72.6	SMAKOQUE	SMCATAR1
130515	130191	21975	21678	325	298	84.1	SMAKOQUE	SMCATAR1
131346	130527	22814	21992	820	823	95.1	SMAKOQUE	SMCATAR1
171085	171526	100796	100349	442	448	86.9	SMAKOQUE	SMCATAR1
171862	171520	100005	100347	343	343	91.9	SMAKOQUE	SMCATAR1
172129	171919	99790	99991	211	202	92.3	SMAKOQUE	SMCATAR1
172688	172103	99237	99822	586	586	83.4	SMAKOQUE	SMCATAR1
173409	173082	46071	45618	328	454	66.6	SMAKOQUE	SMCATAR1
173545	174061	46156	46657	517	502	79.4	SMAKOQUE	SMCATAR1
176389	175354	158049	157014	1036	1036	96.5	SMAKOQUE	SMCATAR1
176689	176449	158368	158131	241	238	93.5	SMAKOQUE	SMCATAR1
178507	176689	160072	158368	1819	1705	82.0	SMAKOQUE	SMCATAR1
180249	178503	161778	160068	1747	1711	92.5	SMAKOQUE	SMCATAR1
37146	37818	76460	75815	673	646	84.2	SMAKOQUE	SMCATAR1
38000	38531	75819	75279	532	541	81.1	SMAKOQUE	SMCATAR1
38533	38914	75290	74924	382	367	88.0	SMAKOQUE	SMCATAR1
38919	42648	74919	71229	3730	3691	90.2	SMAKOQUE	SMCATAR1
42847	47011	71174	67085	4165	4090	89.7	SMAKOQUE	SMCATAR1
50169	49938	64935	65124	232	190	66.1	SMAKOQUE	SMCATAR1
50381	50177	64683	64923	205	241	80.3	SMAKOQUE	SMCATAR1
65177	66839	142123	142474	1663	352	90.3	SMAKOQUE	SMCATAR1
67370	68480	143209	144295	1111	1087	82.6	SMAKOQUE	SMCATAR1
68492	70304	144307	146104	1813	1798	84.7	SMAKOQUE	SMCATAR1
74405	70733	150002	146528	3673	3475	79.6	SMAKOQUE	SMCATAR1
75568	74794	150934	150175	775	760	90.1	SMAKOQUE	SMCATAR1
77013	76776	4296	3996	238	301	73.4	SMAKOQUE	SMCATAR1
77954	77759	138113	138317	196	205	87.9	SMAKOQUE	SMCATAR1
78242	77966	137835	138117	277	283	84.0	SMAKOQUE	SMCATAR1
78652	78238	137467	137830	415	364	87.1	SMAKOQUE	SMCATAR1
79643	79379	136846	137113	265	268	96.4	SMAKOQUE	SMCATAR1
99315	98568	40505	39758	748	748	92.3	SMAKOQUE	SMCATAR1
100785	99339	41989	40531	1447	1459	91.6	SMAKOQUE	SMCATAR1
102376	102646	43390	43666	271	277	93.4	SMAKOQUE	SMCATAR1
102662	104303	43682	45323	1642	1642	96.3	SMAKOQUE	SMCATAR1
105901	107305	51237	49842	1405	1396	89.9	SMAKOQUE	SMCATAR1
107498	108485	49744	48775	988	970	77.3	SMAKOQUE	SMCATAR1
108676	108481	48584	48779	196	196	81.89	SMAKOQUE	SMCATAR1
110079	108981	47078	48275	1099	1198	68.1	SMAKOQUE	SMCATAR1
122072	121658	15202	14833	415	370	87.6	SMAKOQUE	SMCATAR1
122459	122075	15589	15205	385	385	88.9	SMAKOQUE	SMCATAR1
122579	122462	15709	15592	118	118	94.5	SMAKOQUE	SMCATAR1
122799	122583	15929	15713	217	217	90.1	SMAKOQUE	SMCATAR1
123593	123140	16530	16062	454	469	88.0	SMAKOQUE	SMCATAR1
124117	123604	17030	16526	514	505	95.0	SMAKOQUE	SMCATAR1
124650	124119	17415	17043	532	373	72.5	SMAKOQUE	SMCATAR1
125230	124672	17929	17371	559	559	89.1	SMAKOQUE	SMCATAR1
