name	contigs_db_path
VFAGAHAV	VFAGAHAV.db
VFAKOQUE	VFAKOQUE.db
VFASICLA	VFASICLA.db
VFBEB	VFBEB.db
VFBLASP1	VFBLASP1.db
VFBLASP2	VFBLASP2.db
VFBRI	VFBRI.db
VFBRUOCU	VFBRUOCU.db
VFBRUSP1	VFBRUSP1.db
VFCALBON1	VFCALBON1.db
VFCALKRU	VFCALKRU.db
VFCIXIUS	VFCIXIUS.db
VFCIXNER	VFCIXNER.db
VFCIXPIL	VFCIXPIL.db
VFCOTACU	VFCOTACU.db
VFDER3	VFDER3.db
VFDESRAP	VFDESRAP.db
VFDICEUR	VFDICEUR.db
VFDICMUL	VFDICMUL.db
VFDICPAN5	VFDICPAN5.db
VFHYALUT	VFHYALUT.db
VFIDISP1	VFIDISP1.db
VFIND2	VFIND2.db
VFISSCOL1	VFISSCOL1.db
VFISSKAZ	VFISSKAZ.db
VFKELRIB	VFKELRIB.db
VFKELVIT	VFKELVIT.db
VFLACSP	VFLACSP.db
VFLIBAN	VFLIBAN.db
VFLOPSAC	VFLOPSAC.db
VFLYNSP	VFLYNSP.db
VFMALBOS	VFMALBOS.db
VFMEEALB	VFMEEALB.db
VFMEEMAD	VFMEEMAD.db
VFMEESKO	VFMEESKO.db
VFMEETHA	VFMEETHA.db
VFMELPLA	VFMELPLA.db
VFMYCCUN	VFMYCCUN.db
VFOECSP1	VFOECSP1.db
VFOLIH	VFOLIH.db
VFOMMDIS	VFOMMDIS.db
VFOMMLON	VFOMMLON.db
VFPARIOC	VFPARIOC.db
VFPARPLA	VFPARPLA.db
VFPENROR	VFPENROR.db
VFPENVAR	VFPENVAR.db
VFPINALT	VFPINALT.db
VFPITSP	VFPITSP.db
VFPYRCLA	VFPYRCLA.db
VFPYRLAN	VFPYRLAN.db
VFPYRVIR	VFPYRVIR.db
VFRANEDI	VFRANEDI.db
VFRANSCY	VFRANSCY.db
VFRR05105	VFRR05105.db
VFSACSP1	VFSACSP1.db
VFSCODIS	VFSCODIS.db
VFSTELAU	VFSTELAU.db
VFSTEMIN	VFSTEMIN.db
VFTETHEX	VFTETHEX.db
VFTETIMP	VFTETIMP.db
VFTETMAC	VFTETMAC.db
VFTETSUL	VFTETSUL.db
VFTRYOCC	VFTRYOCC.db
VFUGYLON	VFUGYLON.db
VFUGYOPS	VFUGYOPS.db
VFVIZSP	VFVIZSP.db
VFZOPTEN	VFZOPTEN.db
