gene_callers_id	source	accession	function	e_value
1	Prokka:Prodigal	tufA	Elongation factor Tu	0
2	Prokka:Prodigal	rplK	50S ribosomal protein L11	0
3	Prokka:Prodigal			0
4	Prokka:Prodigal			0
5	Prokka:Prodigal			0
6	Prokka:Prodigal	rpoB	DNA-directed RNA polymerase subunit beta	0
7	Prokka:Prodigal	rpoC	DNA-directed RNA polymerase subunit beta'	0
8	Prokka:Prodigal	rpsL	30S ribosomal protein S12	0
9	Prokka:Prodigal	rpsG	30S ribosomal protein S7	0
10	Prokka:Prodigal	fusA	Elongation factor G	0
11	Prokka:Prodigal			0
12	Prokka:Prodigal	def	Peptide deformylase	0
13	Prokka:Prodigal			0
14	Prokka:Prodigal	rsmA	Ribosomal RNA small subunit methyltransferase A	0
15	Prokka:Prodigal	rpsI	30S ribosomal protein S9	0
16	Prokka:Prodigal			0
17	Prokka:Prodigal	dapF	Diaminopimelate epimerase	0
18	Prokka:Prodigal			0
19	Prokka:Prodigal	infB	Translation initiation factor IF-2	0
20	Prokka:Prodigal	prs	Ribose-phosphate pyrophosphokinase	0
21	Prokka:Prodigal			0
22	Prokka:Prodigal			0
23	Prokka:Prodigal	prfA_1	Peptide chain release factor 1	0
24	Prokka:Prodigal	dapA	4-hydroxy-tetrahydrodipicolinate synthase	0
25	Prokka:Prodigal	tilS	tRNA(Ile)-lysidine synthase	0
26	Prokka:Prodigal	lysC	Aspartokinase	0
27	Prokka:Prodigal			0
28	Prokka:Prodigal			0
29	Prokka:Prodigal	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0
30	Prokka:Aragorn	ssrA	transfer-messenger RNA, SsrA	0
31	Prokka:Prodigal			0
32	Prokka:Prodigal	aar	L-alanine/L-glutamate racemase	0
33	Prokka:Prodigal	prfA_2	Peptide chain release factor 1	0
34	Prokka:Prodigal	argH	Argininosuccinate lyase	0
35	Prokka:Prodigal	thrB	Homoserine kinase	0
36	Prokka:Prodigal	rpoD	RNA polymerase sigma factor RpoD	0
37	Prokka:Prodigal	dnaE1	DNA polymerase III subunit alpha	0
38	Prokka:Prodigal			0
39	Prokka:Prodigal			0
40	Prokka:Prodigal	asd	Aspartate-semialdehyde dehydrogenase	0
41	Prokka:Prodigal			0
42	Prokka:Prodigal			0
43	Prokka:Prodigal	dnaQ	DNA polymerase III subunit epsilon	0
44	Prokka:Prodigal	carA	Carbamoyl-phosphate synthase small chain	0
45	Prokka:Prodigal	carB	Carbamoyl-phosphate synthase large chain	0
46	Prokka:Prodigal	rlmE	Ribosomal RNA large subunit methyltransferase E	0
47	Prokka:Prodigal	clpP	ATP-dependent Clp protease proteolytic subunit	0
48	Prokka:Prodigal	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	0
49	Prokka:Prodigal			0
50	Prokka:Prodigal	dnaX	DNA polymerase III subunit tau	0
51	Prokka:Prodigal	hisG	ATP phosphoribosyltransferase	0
52	Prokka:Prodigal	hisD	Histidinol dehydrogenase	0
53	Prokka:Prodigal	hisC	Histidinol-phosphate aminotransferase	0
54	Prokka:Prodigal	hisB	Imidazoleglycerol-phosphate dehydratase	0
55	Prokka:Prodigal	hisH	Imidazole glycerol phosphate synthase subunit HisH	0
56	Prokka:Prodigal	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	0
57	Prokka:Prodigal	hisF	Imidazole glycerol phosphate synthase subunit HisF	0
58	Prokka:Prodigal	hisI	Phosphoribosyl-AMP cyclohydrolase	0
59	Prokka:Prodigal	hisE	Phosphoribosyl-ATP pyrophosphatase	0
60	Prokka:Prodigal	argF	Ornithine carbamoyltransferase, anabolic	0
61	Prokka:Prodigal			0
62	Prokka:Prodigal	infC	Translation initiation factor IF-3	0
63	Prokka:Prodigal	aroC	Chorismate synthase	0
64	Prokka:Aragorn		tRNA-Thr(ggt)	0
65	Prokka:Aragorn		tRNA-Met(cat)	0
66	Prokka:Prodigal			0
67	Prokka:Prodigal			0
68	Prokka:Prodigal			0
69	Prokka:Prodigal			0
70	Prokka:Prodigal	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0
71	Prokka:Prodigal	dapE	Succinyl-diaminopimelate desuccinylase	0
72	Prokka:Prodigal	thrC	Threonine synthase	0
73	Prokka:Prodigal			0
74	Prokka:Prodigal	radA	DNA repair protein RadA	0
75	Prokka:Prodigal	rho	Transcription termination factor Rho	0
76	Prokka:Prodigal			0
77	Prokka:Prodigal	mnmE	tRNA modification GTPase MnmE	0
78	Prokka:Prodigal			0
79	Prokka:Prodigal	groL	60 kDa chaperonin	0
80	Prokka:Prodigal	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	0
81	Prokka:Prodigal			0
82	Prokka:Prodigal			0
83	Prokka:Prodigal	dnaJ	Chaperone protein DnaJ	0
84	Prokka:Prodigal	dnaK	Chaperone protein DnaK	0
85	Prokka:Prodigal	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	0
86	Prokka:Prodigal			0
87	Prokka:Prodigal	dapB	4-hydroxy-tetrahydrodipicolinate reductase	0
88	Prokka:Prodigal	aroE	Shikimate dehydrogenase (NADP(+))	0
89	Prokka:Prodigal	aroQ	3-dehydroquinate dehydratase	0
90	Prokka:Prodigal	rpmA	50S ribosomal protein L27	0
91	Prokka:Prodigal			0
92	Prokka:Prodigal	argG	Argininosuccinate synthase	0
93	Prokka:barrnap		23S ribosomal RNA	0
94	Prokka:Aragorn		tRNA-Ala(tgc)	0
95	Prokka:barrnap		16S ribosomal RNA	0
96	Prokka:Prodigal			0
97	Prokka:Prodigal			0
98	Prokka:Prodigal			0
99	Prokka:Prodigal	rplB	50S ribosomal protein L2	0
100	Prokka:Prodigal	rpsS	30S ribosomal protein S19	0
101	Prokka:Prodigal			0
102	Prokka:Prodigal	rpsC	30S ribosomal protein S3	0
103	Prokka:Prodigal	rplP	50S ribosomal protein L16	0
104	Prokka:Prodigal	rplN	50S ribosomal protein L14	0
105	Prokka:Prodigal			0
106	Prokka:Prodigal	rplE	50S ribosomal protein L5	0
107	Prokka:Prodigal			0
108	Prokka:Prodigal	rpsH	30S ribosomal protein S8	0
109	Prokka:Prodigal			0
110	Prokka:Prodigal			0
111	Prokka:Prodigal			0
112	Prokka:Prodigal			0
113	Prokka:Prodigal	infA	Translation initiation factor IF-1	0
114	Prokka:Prodigal	rpsM	30S ribosomal protein S13	0
115	Prokka:Prodigal	rpsK	30S ribosomal protein S11	0
116	Prokka:Prodigal			0
117	Prokka:Prodigal	rpoA	DNA-directed RNA polymerase subunit alpha	0
118	Prokka:Prodigal			0
119	Prokka:Prodigal	lysA	Diaminopimelate decarboxylase	0
120	Prokka:Prodigal			0
121	Prokka:Prodigal	aroB	3-dehydroquinate synthase	0
