gene_callers_id	source	accession	function	e_value
1	Prokka:Aragorn		tRNA-Trp(cca)	0
2	Prokka:Prodigal			0
3	Prokka:Prodigal			0
4	Prokka:Prodigal			0
5	Prokka:Prodigal			0
6	Prokka:Prodigal	rpoB	DNA-directed RNA polymerase subunit beta	0
7	Prokka:Prodigal	rpoC	DNA-directed RNA polymerase subunit beta'	0
8	Prokka:Prodigal	rpsL	30S ribosomal protein S12	0
9	Prokka:Prodigal	rpsG	30S ribosomal protein S7	0
10	Prokka:Prodigal	fusA	Elongation factor G	0
11	Prokka:Prodigal			0
12	Prokka:Prodigal	def	Peptide deformylase	0
13	Prokka:Aragorn		tRNA-Phe(gaa)	0
14	Prokka:Prodigal			0
15	Prokka:Prodigal	rpsI	30S ribosomal protein S9	0
16	Prokka:Prodigal			0
17	Prokka:Prodigal			0
18	Prokka:Aragorn		tRNA-Gln(ttg)	0
19	Prokka:Prodigal	rplN	50S ribosomal protein L14	0
20	Prokka:Prodigal			0
21	Prokka:Prodigal	rplP	50S ribosomal protein L16	0
22	Prokka:Prodigal	rpsC	30S ribosomal protein S3	0
23	Prokka:Prodigal			0
24	Prokka:Prodigal	rpsS	30S ribosomal protein S19	0
25	Prokka:Prodigal	rplB	50S ribosomal protein L2	0
26	Prokka:Prodigal			0
27	Prokka:Prodigal	rplD	50S ribosomal protein L4	0
28	Prokka:Prodigal			0
29	Prokka:barrnap		16S ribosomal RNA	0
30	Prokka:Aragorn		tRNA-Ile(gat)	0
31	Prokka:barrnap		23S ribosomal RNA	0
32	Prokka:Prodigal	dnaK	Chaperone protein DnaK	0
33	Prokka:Prodigal	dnaJ	Chaperone protein DnaJ	0
34	Prokka:Prodigal			0
35	Prokka:Prodigal			0
36	Prokka:Prodigal	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	0
37	Prokka:Prodigal	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	0
38	Prokka:Prodigal	mnmE	tRNA modification GTPase MnmE	0
39	Prokka:Prodigal	gluQ	Glutamyl-Q tRNA(Asp) synthetase	0
40	Prokka:Prodigal	dnaB	Replicative DNA helicase	0
41	Prokka:Prodigal			0
42	Prokka:Prodigal			0
43	Prokka:Aragorn		tRNA-Met(cat)	0
44	Prokka:Aragorn		tRNA-Arg(tct)	0
45	Prokka:Aragorn		tRNA-Val(aac)	0
46	Prokka:Prodigal	infC	Translation initiation factor IF-3	0
47	Prokka:Prodigal			0
48	Prokka:Prodigal			0
49	Prokka:Aragorn		tRNA-Lys(ttt)	0
50	Prokka:Aragorn		tRNA-His(gtg)	0
51	Prokka:Prodigal			0
52	Prokka:Aragorn		tRNA-Gly(gcc)	0
53	Prokka:Aragorn		tRNA-Cys(gca)	0
54	Prokka:Aragorn		tRNA-Asn(gtt)	0
55	Prokka:Prodigal			0
56	Prokka:Prodigal			0
57	Prokka:Aragorn		tRNA-Ser(aga)	0
58	Prokka:Aragorn		tRNA-Leu(tag)	0
59	Prokka:Prodigal	dnaE1	DNA polymerase III subunit alpha	0
60	Prokka:Prodigal	rpoS	RNA polymerase sigma factor RpoS	0
61	Prokka:Prodigal			0
62	Prokka:Prodigal	prfA_1	Peptide chain release factor 1	0
63	Prokka:Prodigal	aar	L-alanine/L-glutamate racemase	0
64	Prokka:Prodigal	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0
65	Prokka:Aragorn		tRNA-Ser(gct)	0
66	Prokka:Aragorn		tRNA-Ala(tgc)	0
67	Prokka:Prodigal			0
68	Prokka:Prodigal	rpmA	50S ribosomal protein L27	0
69	Prokka:Prodigal			0
70	Prokka:Prodigal	aroQ	3-dehydroquinate dehydratase	0
71	Prokka:Prodigal	aroE	Shikimate dehydrogenase (NADP(+))	0
72	Prokka:Prodigal	leuS	Leucine--tRNA ligase	0
73	Prokka:Prodigal	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	0
74	Prokka:Prodigal			0
75	Prokka:Prodigal	tilS	tRNA(Ile)-lysidine synthase	0
76	Prokka:Prodigal	prfA_2	Peptide chain release factor 1	0
77	Prokka:Prodigal			0
78	Prokka:Prodigal			0
79	Prokka:Prodigal			0
80	Prokka:Prodigal	rplE	50S ribosomal protein L5	0
81	Prokka:Prodigal			0
82	Prokka:Prodigal			0
83	Prokka:Prodigal			0
84	Prokka:Prodigal			0
85	Prokka:Prodigal	rpsE	30S ribosomal protein S5	0
86	Prokka:Prodigal			0
87	Prokka:Prodigal	infA	Translation initiation factor IF-1	0
88	Prokka:Prodigal	rpsM	30S ribosomal protein S13	0
89	Prokka:Prodigal	rpsK	30S ribosomal protein S11	0
90	Prokka:Prodigal	rpsD	30S ribosomal protein S4	0
91	Prokka:Prodigal	rpoA	DNA-directed RNA polymerase subunit alpha	0
92	Prokka:Prodigal			0
93	Prokka:Prodigal			0
94	Prokka:Aragorn		tRNA-Met(cat)	0
95	Prokka:Aragorn		tRNA-Tyr(gta)	0
96	Prokka:Aragorn		tRNA-Gly(tcc)	0
