gene_callers_id	source	accession	function	e_value
1	Prokka:Prodigal			0
2	Prokka:Prodigal	dapA	4-hydroxy-tetrahydrodipicolinate synthase	0
3	Prokka:Prodigal		Aspartate kinase	0
4	Prokka:Prodigal	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0
5	Prokka:Prodigal			0
6	Prokka:Prodigal	metC	Cystathionine beta-lyase	0
7	Prokka:Prodigal	prfA	Peptide chain release factor 1	0
8	Prokka:Prodigal			0
9	Prokka:Prodigal			0
10	Prokka:Prodigal			0
11	Prokka:Prodigal			0
12	Prokka:Prodigal	argH	Argininosuccinate lyase	0
13	Prokka:Prodigal			0
14	Prokka:Prodigal	rpoD	RNA polymerase sigma factor RpoD	0
15	Prokka:Prodigal	dnaE	DNA polymerase III subunit alpha	0
16	Prokka:Prodigal			0
17	Prokka:Prodigal			0
18	Prokka:Prodigal	asd1	Aspartate-semialdehyde dehydrogenase 1	0
19	Prokka:Prodigal			0
20	Prokka:Prodigal			0
21	Prokka:Prodigal			0
22	Prokka:Prodigal			0
23	Prokka:Prodigal			0
24	Prokka:Prodigal			0
25	Prokka:Prodigal	dnaQ	DNA polymerase III subunit epsilon	0
26	Prokka:Prodigal	carA	Carbamoyl-phosphate synthase small chain	0
27	Prokka:Prodigal	carB	Carbamoyl-phosphate synthase large chain	0
28	Prokka:Prodigal	rlmE	Ribosomal RNA large subunit methyltransferase E	0
29	Prokka:Prodigal	clpP	ATP-dependent Clp protease proteolytic subunit	0
30	Prokka:Prodigal	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	0
31	Prokka:Prodigal			0
32	Prokka:Prodigal	ruvB	Holliday junction ATP-dependent DNA helicase RuvB	0
33	Prokka:Prodigal	hisG	ATP phosphoribosyltransferase	0
34	Prokka:Prodigal	hisD	Histidinol dehydrogenase	0
35	Prokka:Prodigal	hisC2	Histidinol-phosphate aminotransferase 2	0
36	Prokka:Prodigal	hisB	Imidazoleglycerol-phosphate dehydratase	0
37	Prokka:Prodigal	hisH	Imidazole glycerol phosphate synthase subunit HisH	0
38	Prokka:Prodigal	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	0
39	Prokka:Prodigal	hisF	Imidazole glycerol phosphate synthase subunit HisF	0
40	Prokka:Prodigal	hisI	Phosphoribosyl-AMP cyclohydrolase	0
41	Prokka:Prodigal	hisE	Phosphoribosyl-ATP pyrophosphatase	0
42	Prokka:Prodigal	argF	Ornithine carbamoyltransferase, anabolic	0
43	Prokka:Prodigal	rplT	50S ribosomal protein L20	0
44	Prokka:Prodigal	infC	Translation initiation factor IF-3	0
45	Prokka:Prodigal	aroC	Chorismate synthase	0
46	Prokka:Aragorn		tRNA-Leu(taa)	0
47	Prokka:Aragorn		tRNA-Met(cat)	0
48	Prokka:Prodigal			0
49	Prokka:Prodigal			0
50	Prokka:Prodigal			0
51	Prokka:Prodigal			0
52	Prokka:Prodigal	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0
53	Prokka:Prodigal	dapE	Succinyl-diaminopimelate desuccinylase	0
54	Prokka:Prodigal			0
55	Prokka:Prodigal			0
56	Prokka:Prodigal			0
57	Prokka:Prodigal			0
58	Prokka:Prodigal	dnaC	Replicative DNA helicase	0
59	Prokka:Prodigal			0
60	Prokka:Prodigal	rho	Transcription termination factor Rho	0
61	Prokka:Prodigal			0
62	Prokka:Prodigal			0
63	Prokka:Prodigal			0
64	Prokka:Prodigal			0
65	Prokka:Prodigal			0
66	Prokka:Prodigal			0
67	Prokka:Prodigal	groL	60 kDa chaperonin	0
68	Prokka:Prodigal	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	0
69	Prokka:Prodigal			0
70	Prokka:Prodigal		putative phosphatase	0
71	Prokka:Prodigal	dnaJ	Chaperone protein DnaJ	0
72	Prokka:Prodigal	dnaK	Chaperone protein DnaK	0
73	Prokka:Prodigal	aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive	0
74	Prokka:Prodigal			0
75	Prokka:Prodigal	dapB	4-hydroxy-tetrahydrodipicolinate reductase	0
76	Prokka:Prodigal	aroE	Shikimate dehydrogenase (NADP(+))	0
77	Prokka:Prodigal	aroQ	3-dehydroquinate dehydratase	0
78	Prokka:Prodigal	rpmA	50S ribosomal protein L27	0
79	Prokka:Prodigal			0
80	Prokka:Prodigal			0
81	Prokka:Prodigal	argG	Argininosuccinate synthase	0
82	Prokka:barrnap		23S ribosomal RNA	0
83	Prokka:Aragorn		tRNA-Gln(ttg)	0
84	Prokka:Aragorn		tRNA-Ala(tgc)	0
85	Prokka:barrnap		16S ribosomal RNA	0
86	Prokka:Prodigal			0
87	Prokka:Prodigal			0
88	Prokka:Prodigal			0
89	Prokka:Prodigal	rplB	50S ribosomal protein L2	0
