gene_callers_id	source	accession	function	e_value
1	Prokka:Prodigal	tufA	Elongation factor Tu	0
2	Prokka:Aragorn		tRNA-Trp(cca)	0
3	Prokka:Prodigal	rplK	50S ribosomal protein L11	0
4	Prokka:Prodigal			0
5	Prokka:Prodigal			0
6	Prokka:Prodigal	rplL	50S ribosomal protein L7/L12	0
7	Prokka:Prodigal	rpoB	DNA-directed RNA polymerase subunit beta	0
8	Prokka:Prodigal	rpoC	DNA-directed RNA polymerase subunit beta'	0
9	Prokka:Prodigal	rpsL	30S ribosomal protein S12	0
10	Prokka:Prodigal	rpsG	30S ribosomal protein S7	0
11	Prokka:Prodigal	fusA	Elongation factor G	0
12	Prokka:Prodigal			0
13	Prokka:Prodigal	cspA	Cold shock-like protein CspA	0
14	Prokka:Aragorn		tRNA-Phe(gaa)	0
15	Prokka:Prodigal			0
16	Prokka:Prodigal	rsmA	Ribosomal RNA small subunit methyltransferase A	0
17	Prokka:Prodigal			0
18	Prokka:Prodigal	erpA	Iron-sulfur cluster insertion protein ErpA	0
19	Prokka:Prodigal	rpsI	30S ribosomal protein S9	0
20	Prokka:Prodigal			0
21	Prokka:Prodigal	dapF	Diaminopimelate epimerase	0
22	Prokka:Prodigal			0
23	Prokka:Prodigal			0
24	Prokka:Prodigal	infB	Translation initiation factor IF-2	0
25	Prokka:Aragorn		tRNA-Gln(ttg)	0
26	Prokka:Prodigal	prs	Ribose-phosphate pyrophosphokinase	0
27	Prokka:Prodigal			0
28	Prokka:Prodigal	rsmD	Ribosomal RNA small subunit methyltransferase D	0
29	Prokka:Prodigal	iscS	Cysteine desulfurase IscS	0
30	Prokka:Prodigal	iscU	Iron-sulfur cluster assembly scaffold protein IscU	0
31	Prokka:Prodigal	lysS	Lysine--tRNA ligase	0
32	Prokka:Prodigal	prfA_1	Peptide chain release factor 1	0
33	Prokka:Prodigal	dapA	4-hydroxy-tetrahydrodipicolinate synthase	0
34	Prokka:Prodigal	tilS	tRNA(Ile)-lysidine synthase	0
35	Prokka:Aragorn		tRNA-Ser(gct)	0
36	Prokka:Prodigal			0
37	Prokka:Prodigal			0
38	Prokka:Prodigal			0
39	Prokka:Aragorn		tRNA-Thr(cgt)	0
40	Prokka:Prodigal	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0
41	Prokka:Prodigal		putative RNA pseudouridine synthase	0
42	Prokka:Prodigal	metC	Cystathionine beta-lyase	0
43	Prokka:Prodigal	prfA_2	Peptide chain release factor 1	0
44	Prokka:Prodigal	trpC	Indole-3-glycerol phosphate synthase	0
45	Prokka:Prodigal	trpD	Anthranilate phosphoribosyltransferase	0
46	Prokka:Prodigal	pabA	Aminodeoxychorismate/anthranilate synthase component 2	0
47	Prokka:Prodigal	menF	Isochorismate synthase MenF	0
48	Prokka:Prodigal	argH	Argininosuccinate lyase	0
49	Prokka:Prodigal	trpS2	Tryptophan--tRNA ligase 2	0
50	Prokka:Prodigal	aspS	Aspartate--tRNA(Asp/Asn) ligase	0
51	Prokka:Prodigal			0
52	Prokka:Prodigal	thrB	Homoserine kinase	0
53	Prokka:Prodigal	rpoD	RNA polymerase sigma factor RpoD	0
54	Prokka:Prodigal	dnaE	DNA polymerase III subunit alpha	0
55	Prokka:Aragorn		tRNA-Leu(tag)	0
56	Prokka:Aragorn		tRNA-Ser(aga)	0
57	Prokka:Prodigal	gatA	Glutamyl-tRNA(Gln) amidotransferase subunit A	0
58	Prokka:Prodigal	metF	5,10-methylenetetrahydrofolate reductase	0
59	Prokka:Prodigal	asd	Aspartate-semialdehyde dehydrogenase	0
60	Prokka:Prodigal	trpF	N-(5'-phosphoribosyl)anthranilate isomerase	0
61	Prokka:Prodigal	trpB	Tryptophan synthase beta chain	0
62	Prokka:Prodigal	trpA	Tryptophan synthase alpha chain	0
63	Prokka:Prodigal			0
64	Prokka:Prodigal			0
65	Prokka:Aragorn		tRNA-Asn(gtt)	0
66	Prokka:Prodigal	rluC	Ribosomal large subunit pseudouridine synthase C	0
67	Prokka:Aragorn		tRNA-Cys(gca)	0
68	Prokka:Aragorn		tRNA-Gly(gcc)	0
69	Prokka:Prodigal	carA	Carbamoyl-phosphate synthase small chain	0
