gene_callers_id	source	accession	function	e_value
1	Prokka:Aragorn		tRNA-Trp(cca)	0
2	Prokka:Prodigal			0
3	Prokka:Prodigal			0
4	Prokka:Prodigal			0
5	Prokka:Prodigal	rplL	50S ribosomal protein L7/L12	0
6	Prokka:Prodigal	rpoB	DNA-directed RNA polymerase subunit beta	0
7	Prokka:Prodigal	rpoC	DNA-directed RNA polymerase subunit beta'	0
8	Prokka:Prodigal	rpsL	30S ribosomal protein S12	0
9	Prokka:Prodigal	rpsG	30S ribosomal protein S7	0
10	Prokka:Prodigal	fusA	Elongation factor G	0
11	Prokka:Prodigal	rpsJ	30S ribosomal protein S10	0
12	Prokka:Aragorn		tRNA-Phe(gaa)	0
13	Prokka:Prodigal			0
14	Prokka:Prodigal			0
15	Prokka:Prodigal	rsmA	Ribosomal RNA small subunit methyltransferase A	0
16	Prokka:Prodigal			0
17	Prokka:Prodigal	rpsI	30S ribosomal protein S9	0
18	Prokka:Prodigal			0
19	Prokka:Prodigal	dapF	Diaminopimelate epimerase	0
20	Prokka:Prodigal	rpiA	Ribose-5-phosphate isomerase A	0
21	Prokka:Aragorn		tRNA-Gln(ttg)	0
22	Prokka:Prodigal	prs	Ribose-phosphate pyrophosphokinase	0
23	Prokka:Prodigal			0
24	Prokka:Prodigal	rsmD	Ribosomal RNA small subunit methyltransferase D	0
25	Prokka:Prodigal	iscS	Cysteine desulfurase IscS	0
26	Prokka:Prodigal	lysS	Lysine--tRNA ligase	0
27	Prokka:Prodigal	prfB	Peptide chain release factor RF2	0
28	Prokka:Prodigal	dapA	4-hydroxy-tetrahydrodipicolinate synthase	0
29	Prokka:Aragorn		tRNA-Ser(gct)	0
30	Prokka:Prodigal			0
31	Prokka:Prodigal			0
32	Prokka:Prodigal	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0
33	Prokka:Prodigal			0
34	Prokka:Prodigal	aar	L-alanine/L-glutamate racemase	0
35	Prokka:Prodigal	prfA	Peptide chain release factor 1	0
36	Prokka:Prodigal	trpC	Indole-3-glycerol phosphate synthase	0
37	Prokka:Prodigal	trpD	Anthranilate phosphoribosyltransferase	0
38	Prokka:Prodigal	pabA	Aminodeoxychorismate synthase component 2	0
39	Prokka:Prodigal	menF	Isochorismate synthase MenF	0
40	Prokka:Prodigal	argH	Argininosuccinate lyase	0
41	Prokka:Prodigal	gluQ	Glutamyl-Q tRNA(Asp) synthetase	0
42	Prokka:Prodigal	thrB	Homoserine kinase	0
43	Prokka:Prodigal	tsaD	tRNA N6-adenosine threonylcarbamoyltransferase	0
44	Prokka:Prodigal	dnaG	DNA primase	0
45	Prokka:Aragorn		tRNA-Met(cat)	0
46	Prokka:Prodigal	dnaE	DNA polymerase III subunit alpha	0
47	Prokka:Prodigal			0
48	Prokka:Aragorn		tRNA-Leu(tag)	0
49	Prokka:Aragorn		tRNA-Ser(aga)	0
50	Prokka:Prodigal	asd	Aspartate-semialdehyde dehydrogenase	0
51	Prokka:Prodigal	trpF	N-(5'-phosphoribosyl)anthranilate isomerase	0
52	Prokka:Prodigal	trpB	Tryptophan synthase beta chain	0
53	Prokka:Prodigal	trpA	Tryptophan synthase alpha chain	0
54	Prokka:Prodigal			0
55	Prokka:Prodigal			0
56	Prokka:Aragorn		tRNA-Asn(gtt)	0
57	Prokka:Aragorn		tRNA-Cys(gca)	0
58	Prokka:Aragorn		tRNA-Gly(gcc)	0
