REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
7	1227	4	1221	1221	1218	71.15	VFCIXIUS	VFCIXPIL
3759	5681	3884	5836	1923	1953	37.28	VFCIXIUS	VFCIXPIL
5742	6674	6044	6985	933	942	50.0	VFCIXIUS	VFCIXPIL
6688	9513	6976	9870	2826	2895	43.79	VFCIXIUS	VFCIXPIL
10544	10912	10923	11285	369	363	78.05	VFCIXIUS	VFCIXPIL
11366	13465	11758	13869	2100	2112	54.44	VFCIXIUS	VFCIXPIL
34784	36967	37779	39962	2184	2184	43.09	VFCIXIUS	VFCIXPIL
50208	51098	50988	51866	891	879	45.28	VFCIXIUS	VFCIXPIL
60825	61442	60584	61210	618	627	43.78	VFCIXIUS	VFCIXPIL
66235	66783	65875	66465	549	591	58.38	VFCIXIUS	VFCIXPIL
66762	67910	66449	67600	1149	1152	56.22	VFCIXIUS	VFCIXPIL
84322	85248	80965	81891	927	927	46.71	VFCIXIUS	VFCIXPIL
94617	96413	92332	94161	1797	1830	47.34	VFCIXIUS	VFCIXPIL
96685	98331	95091	96740	1647	1650	49.73	VFCIXIUS	VFCIXPIL
104633	102864	107116	105347	1770	1770	62.96	VFCIXIUS	VFCIXPIL
118397	117759	119544	118915	639	630	75.12	VFCIXIUS	VFCIXPIL
118709	118488	119837	119616	222	222	91.89	VFCIXIUS	VFCIXPIL
119511	119272	120636	120397	240	240	76.25	VFCIXIUS	VFCIXPIL
119518	119886	120641	121003	369	363	69.11	VFCIXIUS	VFCIXPIL
119886	120233	121001	121348	348	348	62.39	VFCIXIUS	VFCIXPIL
120435	120974	121532	121963	540	432	49.73	VFCIXIUS	VFCIXPIL
120999	121403	121999	122394	405	396	71.85	VFCIXIUS	VFCIXPIL
121770	121408	122762	122409	363	354	66.12	VFCIXIUS	VFCIXPIL
122326	121802	123284	122781	525	504	51.14	VFCIXIUS	VFCIXPIL
124787	125692	124516	125412	906	897	55.08	VFCIXIUS	VFCIXPIL
127995	128744	127527	128327	750	801	46.07	VFCIXIUS	VFCIXPIL
4	1209	7	1212	1206	1206	70.79	VFCIXPIL	VFCIXNER
3101	6985	3085	6660	3885	3576	37.81	VFCIXPIL	VFCIXNER
6982	9870	6674	9493	2889	2820	43.79	VFCIXPIL	VFCIXNER
10923	11306	10524	10916	384	393	76.34	VFCIXPIL	VFCIXNER
11758	13869	11344	13452	2112	2109	53.82	VFCIXPIL	VFCIXNER
50664	51791	49778	50821	1128	1044	39.33	VFCIXPIL	VFCIXNER
65671	66402	65727	66500	732	774	51.53	VFCIXPIL	VFCIXNER
66455	67759	66509	67810	1305	1302	52.37	VFCIXPIL	VFCIXNER
80965	81888	84040	84969	924	930	47.8	VFCIXPIL	VFCIXNER
92332	94161	94576	96375	1830	1800	46.95	VFCIXPIL	VFCIXNER
95094	96740	96657	98291	1647	1635	50.9	VFCIXPIL	VFCIXNER
107122	105305	104554	102728	1818	1827	63.09	VFCIXPIL	VFCIXNER
115868	116293	112554	112991	426	438	52.05	VFCIXPIL	VFCIXNER
119544	118945	118232	117627	600	606	76.24	VFCIXPIL	VFCIXNER
119837	119616	118544	118323	222	222	91.89	VFCIXPIL	VFCIXNER
119848	119955	118556	118663	108	108	75.0	VFCIXPIL	VFCIXNER
120488	120393	119199	119104	96	96	75.0	VFCIXPIL	VFCIXNER
120636	120502	119348	119214	135	135	86.67	VFCIXPIL	VFCIXNER
121001	120639	119721	119353	363	369	70.73	VFCIXPIL	VFCIXNER
121157	121471	119878	120189	315	312	56.6	VFCIXPIL	VFCIXNER
121729	121962	120552	120803	234	252	73.26	VFCIXPIL	VFCIXNER
122075	121998	120905	120828	78	78	92.31	VFCIXPIL	VFCIXNER
122107	122394	120927	121232	288	306	73.53	VFCIXPIL	VFCIXNER
122762	122409	121599	121237	354	363	66.94	VFCIXPIL	VFCIXNER
122949	122773	121802	121623	177	180	78.33	VFCIXPIL	VFCIXNER
123281	123105	122179	121964	177	216	45.83	VFCIXPIL	VFCIXNER
123493	123747	122696	122956	255	261	64.37	VFCIXPIL	VFCIXNER
124519	125400	123780	124655	882	876	56.9	VFCIXPIL	VFCIXNER
127683	128324	127117	127761	642	645	46.15	VFCIXPIL	VFCIXNER
134659	133520	134318	133176	1140	1143	43.67	VFCIXPIL	VFCIXNER
1	1185	1	1191	1185	1191	73.05	VFCIXNER	VFPENROR
3118	5571	3189	5543	2454	2355	41.81	VFCIXNER	VFPENROR
5575	6675	5778	6830	1101	1053	51.06	VFCIXNER	VFPENROR
6689	10585	6812	10645	3897	3834	49.81	VFCIXNER	VFPENROR
10516	14031	10595	14035	3516	3441	53.07	VFCIXNER	VFPENROR
15532	15305	14626	14423	228	204	55.13	VFCIXNER	VFPENROR
26693	28963	25264	27396	2271	2133	44.33	VFCIXNER	VFPENROR
33799	31595	31980	29776	2205	2205	39.8	VFCIXNER	VFPENROR
34610	38077	32930	36337	3468	3408	43.46	VFCIXNER	VFPENROR
37534	38841	35818	37098	1308	1281	50.11	VFCIXNER	VFPENROR
46022	44586	42610	41183	1437	1428	51.24	VFCIXNER	VFPENROR
46996	45977	43559	42552	1020	1008	55.43	VFCIXNER	VFPENROR
48908	47202	46714	45113	1707	1602	43.66	VFCIXNER	VFPENROR
49541	50833	48389	49615	1293	1227	48.63	VFCIXNER	VFPENROR
51049	54084	49843	52848	3036	3006	46.92	VFCIXNER	VFPENROR
54044	54496	52799	53218	453	420	39.64	VFCIXNER	VFPENROR
57180	58520	57953	59269	1341	1317	56.47	VFCIXNER	VFPENROR
60933	62276	61537	62937	1344	1401	44.26	VFCIXNER	VFPENROR
62260	65421	62898	66053	3162	3156	52.51	VFCIXNER	VFPENROR
65978	67681	66596	68281	1704	1686	56.35	VFCIXNER	VFPENROR
68601	69761	68876	70009	1161	1134	41.16	VFCIXNER	VFPENROR
71526	72938	70770	72110	1413	1341	46.14	VFCIXNER	VFPENROR
75761	76564	74856	75632	804	777	55.22	VFCIXNER	VFPENROR
77413	78669	76392	77624	1257	1233	42.73	VFCIXNER	VFPENROR
80528	79434	81662	80613	1095	1050	52.7	VFCIXNER	VFPENROR
85538	83004	86464	83996	2535	2469	41.16	VFCIXNER	VFPENROR
87659	86256	88316	86916	1404	1401	50.83	VFCIXNER	VFPENROR
89229	87673	89842	88316	1557	1527	40.74	VFCIXNER	VFPENROR
90281	88851	90861	89467	1431	1395	42.95	VFCIXNER	VFPENROR
90452	91813	91047	92393	1362	1347	55.58	VFCIXNER	VFPENROR
