REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
0	1188	0	1209	1189	1210	72.1	VFAGAHAV	VFAKOQUE
1269	1647	1238	1688	379	451	32.0	VFAGAHAV	VFAKOQUE
2961	6813	3156	6993	3853	3838	40.69	VFAGAHAV	VFAKOQUE
6809	10694	6989	10925	3886	3937	40.4	VFAGAHAV	VFAKOQUE
10671	11061	10912	11308	391	397	68.89	VFAGAHAV	VFAKOQUE
11032	11506	11288	11762	475	475	46.4	VFAGAHAV	VFAKOQUE
11505	13545	11765	13844	2041	2080	57.19	VFAGAHAV	VFAKOQUE
114833	115166	111380	111776	334	397	56.2	VFAGAHAV	VFAKOQUE
100489	99946	96857	96083	544	775	34.89	VFAGAHAV	VFAKOQUE
79252	78130	74629	73441	1123	1189	33.0	VFAGAHAV	VFAKOQUE
115481	115829	112097	112454	349	358	54.1	VFAGAHAV	VFAKOQUE
65592	66165	61559	62159	574	601	45.5	VFAGAHAV	VFAKOQUE
114417	114852	110965	111394	436	430	47.2	VFAGAHAV	VFAKOQUE
95695	94705	92216	91262	991	955	39.0	VFAGAHAV	VFAKOQUE
58564	59092	54144	54711	529	568	36.4	VFAGAHAV	VFAKOQUE
63444	64692	59321	60596	1249	1276	37.7	VFAGAHAV	VFAKOQUE
93722	93269	90163	89710	454	454	42.3	VFAGAHAV	VFAKOQUE
74947	75769	70182	70971	823	790	60.3	VFAGAHAV	VFAKOQUE
43212	44409	39782	41249	1198	1468	31.1	VFAGAHAV	VFAKOQUE
108326	108734	104443	105010	409	568	48.4	VFAGAHAV	VFAKOQUE
54440	53966	49900	49318	475	583	39.2	VFAGAHAV	VFAKOQUE
59081	59648	54700	55270	568	571	65.0	VFAGAHAV	VFAKOQUE
102513	103713	98655	99930	1201	1276	45.5	VFAGAHAV	VFAKOQUE
110820	111426	107136	107745	607	610	40.2	VFAGAHAV	VFAKOQUE
54473	55511	49913	51005	1039	1093	44.5	VFAGAHAV	VFAKOQUE
100577	101093	96871	97300	517	430	51.0	VFAGAHAV	VFAKOQUE
80963	80660	76291	75826	304	466	30.4	VFAGAHAV	VFAKOQUE
82910	84713	78368	80150	1804	1783	51.0	VFAGAHAV	VFAKOQUE
13541	13838	13875	14178	298	304	38.0	VFAGAHAV	VFAKOQUE
13827	14211	14171	14597	385	427	34.49	VFAGAHAV	VFAKOQUE
16444	15346	15323	16448	1099	1126	28.1	VFAGAHAV	VFAKOQUE
16830	16440	16892	17282	391	391	47.2	VFAGAHAV	VFAKOQUE
17120	16826	16481	16859	295	379	34.2	VFAGAHAV	VFAKOQUE
17902	17116	18093	17271	787	823	34.39	VFAGAHAV	VFAKOQUE
20020	18550	20129	18740	1471	1390	33.0	VFAGAHAV	VFAKOQUE
31086	33303	31199	33689	2218	2491	39.6	VFAGAHAV	VFAKOQUE
33515	34268	33956	34667	754	712	32.0	VFAGAHAV	VFAKOQUE
34264	35431	34663	35452	1168	790	38.3	VFAGAHAV	VFAKOQUE
68442	68715	64515	64806	274	292	37.6	VFAGAHAV	VFAKOQUE
68856	69666	64911	65793	811	883	35.8	VFAGAHAV	VFAKOQUE
66764	67451	62775	63489	688	715	40.79	VFAGAHAV	VFAKOQUE
67440	68181	63481	64237	742	757	48.5	VFAGAHAV	VFAKOQUE
68174	68471	64229	64523	298	295	43.8	VFAGAHAV	VFAKOQUE
111422	111824	107729	108173	403	445	39.6	VFAGAHAV	VFAKOQUE
111820	112045	108286	108514	226	229	39.4	VFAGAHAV	VFAKOQUE
112041	112407	108510	108876	367	367	56.99	VFAGAHAV	VFAKOQUE
112943	113246	109385	109736	304	352	39.2	VFAGAHAV	VFAKOQUE
113610	114126	110108	110642	517	535	34.2	VFAGAHAV	VFAKOQUE
93268	91459	89711	87890	1810	1822	67.2	VFAGAHAV	VFAKOQUE
36280	35419	25632	24912	862	721	43.5	VFAGAHAV	VFAKOQUE
41051	39656	37135	35773	1396	1363	48.8	VFAGAHAV	VFAKOQUE
48731	48926	45916	46081	196	166	46.8	VFAGAHAV	VFAKOQUE
110229	110505	106563	106827	277	265	70.5	VFAGAHAV	VFAKOQUE
62854	63448	58677	59310	595	634	40.6	VFAGAHAV	VFAKOQUE
59644	60793	55269	56451	1150	1183	55.1	VFAGAHAV	VFAKOQUE
20107	20953	20280	21177	847	898	29.3	VFAGAHAV	VFAKOQUE
22163	21416	22281	21717	748	565	46.1	VFAGAHAV	VFAKOQUE
22242	23346	22549	23623	1105	1075	29.8	VFAGAHAV	VFAKOQUE
24651	23331	24932	23615	1321	1318	46.7	VFAGAHAV	VFAKOQUE
26186	25313	26497	25585	874	913	50.3	VFAGAHAV	VFAKOQUE
26187	28260	27430	28618	2074	1189	38.5	VFAGAHAV	VFAKOQUE
30762	28464	31130	28697	2299	2434	40.3	VFAGAHAV	VFAKOQUE
70042	69727	66190	65842	316	349	37.0	VFAGAHAV	VFAKOQUE
71756	70703	67964	66908	1054	1057	56.79	VFAGAHAV	VFAKOQUE
73838	72941	70152	69252	898	901	31.0	VFAGAHAV	VFAKOQUE
42238	41290	38814	37428	949	1387	39.8	VFAGAHAV	VFAKOQUE
45873	48735	42899	45920	2863	3022	40.79	VFAGAHAV	VFAKOQUE
49792	50815	47113	48181	1024	1069	39.3	VFAGAHAV	VFAKOQUE
102420	101607	98489	97835	814	655	32.4	VFAGAHAV	VFAKOQUE
109454	110237	105758	106577	784	820	54.6	VFAGAHAV	VFAKOQUE
64669	65596	60583	61573	928	991	37.3	VFAGAHAV	VFAKOQUE
